time,smaller,larger,outer,inner,updates
185.699,194,1411356,1411356,224,150
4.67,194,30231,30231,12,6
70.172,194,157804,157804,106,106
39.26,194,47322,47322,21,21
1237.21,21,40730076,37752598,272,0
203.594,150,1411356,1411356,188,105
4.71,150,30231,30231,2,1
71.476,150,157804,157804,28,28
39.719,150,47322,47322,6,6
1239.24,6,40730104,37752626,74,0
184.785,105,1411356,1411356,142,103
4.541,105,30231,30231,2,1
81.609,105,157804,157804,42,42
35.266,105,47322,47322,12,12
1239.09,12,40730146,37752668,120,0
188.677,103,1411356,1411356,132,43
4.538,103,30231,30231,0,0
81.697,103,157804,157804,42,42
35.224,103,47322,47322,7,7
1241.85,7,40730188,37752710,105,0
187.661,43,1411356,1411356,52,32
4.613,43,30231,30231,0,0
82.534,43,157804,157804,21,21
35.007,43,47322,47322,4,4
1237.43,4,40730209,37752731,54,0
183.93,32,1411356,1411356,36,6
4.533,32,30231,30231,0,0
81.233,32,157804,157804,42,42
35.01,32,47322,47322,6,6
1226.68,6,40730251,37752773,102,0
182.01,6,1411356,1411356,6,3
4.425,6,30231,30231,0,0
80.893,6,157804,157804,7,7
36.389,6,47322,47322,1,1
1230.04,1,40730258,37752780,17,0
181.246,3,1411356,1411356,3,0
4.451,3,30231,30231,0,0
80.444,3,157804,157804,7,7
36.935,3,47322,47322,1,1
1241.39,1,40730265,37752787,17,0
5662.15,6951240,40730265,37752787,34689887,2423946
8282.72,58584,1272021277,58584,69721690,19695039
10625,1411356,17451734,1411356,37221055,27932702
375.09,58584,17451734,58584,1123834,354318
689.715,157804,17451734,157804,302012,301941
93.077,47322,17451734,47322,27982,27876
1281.47,27822,41032198,38054712,57549,56130
7971.11,1411356,27618231,1411356,35078017,17839652
1006.2,59153,27618231,59153,2995308,2415197
113.461,157804,27618231,157804,125,124
46.303,47322,27618231,47322,137,46
1268.01,46,41032322,38054830,160,95
5891.77,1411356,16705245,1411356,16728037,10165671
640.129,59233,16705245,59233,1078841,629062
602.957,157804,16705245,157804,301446,301395
66.29,47322,16705245,47322,28816,28765
1309.29,28765,41333713,38329037,86748,84260
4300.37,1411356,9088356,1411356,11605821,5989245
435.937,60556,9088356,60556,517538,435531
243.394,157804,9088356,157804,160783,160751
92.356,47322,9088356,47322,47751,47746
1985.91,47742,41494429,38543882,522715,732
4151.61,1411356,6163382,1411356,7850943,5169110
240.158,60755,6163382,60755,341895,257502
472.964,157804,6163382,157804,455785,455784
67.273,47322,6163382,47322,38054,38054
1315.9,38054,41950213,38987323,177313,110035
2749.97,1411356,5001517,1411356,6407952,3595067
159.139,61622,5001517,61622,187648,101451
490.915,157804,5001517,157804,456338,456338
78.787,47322,5001517,47322,27457,27455
1589.86,27455,42406551,39434690,56749,320
2362.1,1411356,3520517,1411356,4632903,3120262
268.08,61818,3520517,61818,708348,490179
145.209,157804,3520517,157804,81285,81284
42.948,47322,3520517,47322,1122,1122
1301.46,1122,42487835,39515825,5905,339
5556.07,1411356,3446123,1411356,13703484,12029239
509.002,61966,3446123,61966,975532,935319
167.339,157804,3446123,157804,62534,62493
57.198,47322,3446123,47322,27584,27584
1312.54,27584,42550328,39577779,56035,148
8353.6,1411356,12666982,1411356,18921925,11693291
102.323,62033,12666982,62033,153809,56979
215.811,157804,12666982,157804,255829,255829
61.202,47322,12666982,47322,36942,36942
1340.7,36942,42806157,39833529,83349,193
6689.09,1411356,10518199,1411356,13402628,8913241
212.856,62162,10518199,62162,387919,277123
196.453,157804,10518199,157804,148310,148301
55.993,47322,10518199,47322,28012,28012
1317.62,28012,42954458,39981352,3716,52
3987.43,1411356,8411581,1411356,11471878,6753913
177.697,62191,8411581,62191,559640,432237
129.124,157804,8411581,157804,76327,76327
42.645,47322,8411581,47322,1140,1140
1327.56,1140,43030785,40057527,4345,95
3256.58,1411356,6719543,1411356,8562125,5233217
399.921,62263,6719543,62263,770478,669983
181.568,157804,6719543,157804,145311,145306
116.399,47322,6719543,47322,135978,135978
1509.41,135966,43176091,40202257,1707348,54420
2930.16,1411356,5501929,1411356,6621734,4432139
341.619,62432,5501929,62432,988047,559272
176.871,157804,5501929,157804,156252,156249
41.863,47322,5501929,47322,408,408
1326.61,382,43332340,40358222,722,2
3103.15,1411356,4827286,1411356,7587254,5573808
72.631,62434,4827286,62434,269337,81114
186.085,157804,4827286,157804,172708,172708
44.043,47322,4827286,47322,775,769
1378.45,763,43505042,40448986,3601,18
2491.22,1411356,5040785,1411356,6072666,4123811
78.46,62452,5040785,62452,656287,112055
298.568,157804,5040785,157804,600001,599988
89.155,47322,5040785,47322,81951,81926
1417.69,81913,44105017,41048632,570737,26
1832,1411356,3522807,1411356,4388274,3331015
111.148,62458,3522807,62458,265059,218154
209.369,157804,3522807,157804,306842,306829
57.154,47322,3522807,47322,28377,28345
1368.74,28345,44411846,41327809,30793,3
1869.4,1411356,3435934,1411356,5505037,3408400
45.391,62459,3435934,62459,61294,39799
289.918,157804,3435934,157804,305876,305865
43.426,47322,3435934,47322,1437,1424
1383.25,1424,44717711,41632722,2772,18
1615.6,1411356,3201220,1411356,3334005,2793859
150.749,62465,3201220,62465,167651,130112
245.479,157804,3201220,157804,308814,308806
228.006,47322,3201220,47322,434389,434389
1434.18,434389,45026517,41940380,436136,0
1601.7,1411356,2760183,1411356,4178522,3174221
46.231,62465,2760183,62465,55755,39448
171.736,157804,2760183,157804,154642,154629
59.392,47322,2760183,47322,29603,29603
1426.18,29603,45181146,42091482,4355,0
1292.34,1411356,3124724,1411356,2674726,2006327
593.493,62465,3124724,62465,1588738,1576563
592.604,157804,3124724,157804,2207254,2207253
57.682,47322,3124724,47322,29013,29013
1485.93,29013,47388399,44296614,86620,0
2379.16,1411356,3344131,1411356,4241389,3338641
52.691,62465,3344131,62465,52106,39674
116.038,157804,3344131,157804,20778,20771
44.535,47322,3344131,47322,5011,5011
1490.24,5011,47409170,44316301,8409,0
1146.62,1411356,3266567,1411356,2162501,1732399
61.054,62465,3266567,62465,1308499,75250
141.108,157804,3266567,157804,125344,125341
48.04,47322,3266567,47322,3190,3190
1489.85,3190,47534511,44440333,9746,75
903.44,1411356,1709928,1411356,2175755,1077284
42.127,62472,1709928,62472,45870,34913
109.567,157804,1709928,157804,22241,22223
45.391,47322,1709928,47322,2999,2999
1485.15,2999,47556734,44460797,6068,0
832.247,1033737,1411356,1411356,1289628,907052
171.308,62472,1033737,62472,201577,149848
275.607,157804,1033737,157804,245015,244975
46.889,47322,1033737,47322,3435,3435
1502.94,3429,47801709,44700337,11441,12
775.36,994675,1411356,1411356,1343755,926825
44.378,62476,994675,62476,66707,48750
122.043,157804,994675,157804,35059,35046
48.132,47322,994675,47322,4556,4556
1508.7,4556,47836755,44732222,14414,0
801.821,908020,1411356,1411356,1367291,1091153
38.588,62476,908020,62476,68804,34135
165.937,157804,908020,157804,142436,142420
47.75,47322,908020,47322,4976,4976
1518.67,4976,47979175,44871688,15853,0
868.798,1039785,1411356,1411356,1328055,1011275
54.406,62476,1039785,62476,57194,46121
156.964,157804,1039785,157804,45939,45924
48.973,47322,1039785,47322,4372,4357
1523.04,4357,48025099,44912983,12889,6
816.242,961614,1411356,1411356,1579414,1294134
45.631,62478,961614,62478,75288,59929
136.859,157804,961614,157804,54421,54411
53.181,47322,961614,47322,8639,8636
1520.43,8636,48079510,44963344,35166,0
817.479,1224339,1411356,1411356,1657444,1314103
42.852,62478,1224339,62478,50133,38414
152.584,157804,1224339,157804,83967,83901
54.747,47322,1224339,47322,8632,8632
1531.37,8632,48163411,45040301,26844,0
815.866,1114993,1411356,1411356,1672063,1283669
46.043,62478,1114993,62478,57485,47241
196.485,157804,1114993,157804,119675,119591
61.626,47322,1114993,47322,17112,17112
1541.65,17112,48283002,45154586,54247,0
1041.23,1208135,1411356,1411356,1697429,1381067
59.671,62478,1208135,62478,59239,44717
191.864,157804,1208135,157804,109459,109396
61.219,47322,1208135,47322,15740,15740
1543.93,15740,48392398,45255804,50420,0
810.312,1273092,1411356,1411356,1635285,1214137
50.406,62478,1273092,62478,66969,55789
204.731,157804,1273092,157804,139555,139401
66.305,47322,1273092,47322,20931,20931
1543.62,20931,48531799,45386539,55539,0
796.285,1091579,1411356,1411356,1412774,1094690
43.319,62478,1091579,62478,53394,43755
171.134,157804,1091579,157804,90081,89907
67.632,47322,1091579,47322,24739,24739
1554.42,24739,48621706,45469810,62889,0
776.66,1026984,1411356,1411356,1466196,1092254
61.717,62478,1026984,62478,101351,91839
191.828,157804,1026984,157804,148778,148252
65.269,47322,1026984,47322,21905,21905
1564.2,21905,48769958,45613219,87195,0
721.185,1030091,1411356,1411356,1262239,903783
41.714,62478,1030091,62478,46838,33026
174.614,157804,1030091,157804,101527,101011
60.907,47322,1030091,47322,19031,19031
1551.21,19031,48870969,45710986,67828,0
717.902,823239,1411356,1411356,1229801,922806
43.28,62478,823239,62478,49125,38046
188.104,157804,823239,157804,126172,126025
69.767,47322,823239,47322,32697,32697
1573.54,32697,48996994,45826291,107482,0
699.017,867883,1411356,1411356,1151868,775749
45.009,62478,867883,62478,42757,34393
180.976,157804,867883,157804,86762,86711
58.116,47322,867883,47322,16438,16438
1557.86,16438,49083705,45909627,64189,0
664.657,740974,1411356,1411356,1040690,720549
43.761,62478,740974,62478,59752,40845
174.939,157804,740974,157804,92824,92336
60.13,47322,740974,47322,16587,16587
1569.44,16587,49176041,45994048,64847,0
641.194,702120,1411356,1411356,920177,654849
40.432,62478,702120,62478,44935,33790
161.108,157804,702120,157804,73814,73767
53.661,47322,702120,47322,10078,10078
1573.56,10078,49249808,46063833,38481,0
629.271,621203,1411356,1411356,890630,621811
51.108,62478,621203,62478,83188,40095
164.795,157804,621203,157804,59625,59586
53.125,47322,621203,47322,10925,10925
1565.01,10925,49309394,46116085,30639,0
736.418,599401,1411356,1411356,778399,554407
52.652,62478,599401,62478,55537,41720
160.144,157804,599401,157804,57531,57516
51.879,47322,599401,47322,7437,7437
1566.53,7437,49366910,46170906,20091,0
556.242,539742,1411356,1411356,760124,545310
39.597,62478,539742,62478,52449,34693
140.427,157804,539742,157804,57107,57061
55.511,47322,539742,47322,13308,13308
1556.05,13308,49423971,46225024,27356,0
536.516,532516,1411356,1411356,693359,503827
34.634,62478,532516,62478,37980,23947
128.583,157804,532516,157804,44570,44514
49.473,47322,532516,47322,5568,5568
1555.74,5568,49468485,46267723,17343,0
504.756,477305,1411356,1411356,638461,452108
40.081,62478,477305,62478,89370,45390
139.311,157804,477305,157804,80211,80201
52.263,47322,477305,47322,8316,8316
1553.48,8316,49548686,46345211,18586,0
470.834,458514,1411356,1411356,569953,399281
30.647,62478,458514,62478,32380,21960
114.031,157804,458514,157804,25860,25849
49.167,47322,458514,47322,5619,5619
1556.09,5619,49574535,46369715,15997,0
441.026,382716,1411356,1411356,487906,340693
32.709,62478,382716,62478,55610,32603
127.193,157804,382716,157804,56633,56505
49.157,47322,382716,47322,5525,5525
1560.4,5525,49631040,46424835,24285,0
408.399,336677,1411356,1411356,452458,317517
23.939,62478,336677,62478,17745,12325
115.076,157804,336677,157804,30036,29957
47.977,47322,336677,47322,5060,5060
1549.09,5060,49660997,46453828,16871,0
379.923,299986,1411356,1411356,407227,272237
25.65,62478,299986,62478,24406,12554
112.106,157804,299986,157804,30689,30668
46.663,47322,299986,47322,5322,5322
1554.71,5322,49691665,46482175,15012,0
359.39,253367,1411356,1411356,392190,282787
21.211,62478,253367,62478,12523,9544
103.795,157804,253367,157804,20632,20629
44.352,47322,253367,47322,2873,2873
1564.44,2873,49712294,46502168,11113,0
326.729,273940,1411356,1411356,384006,202337
21.181,62478,273940,62478,14128,12112
104.51,157804,273940,157804,28055,27956
44.551,47322,273940,47322,4387,4387
1567.22,4387,49740250,46528649,17609,0
307.997,182870,1411356,1411356,245014,165513
18.684,62478,182870,62478,8254,6540
99.695,157804,182870,157804,18489,18454
42.885,47322,182870,47322,2361,2361
1540.85,2361,49758704,46546295,9569,0
284.512,159436,1411356,1411356,227217,130645
19.672,62478,159436,62478,20934,11705
95.141,157804,159436,157804,14256,14244
43.218,47322,159436,47322,2699,2699
1530.36,2699,49772948,46559063,6101,0
272.476,128858,1411356,1411356,172351,101670
18.391,62478,128858,62478,10265,8891
91.294,128858,157804,157804,11735,11734
41.82,47322,128858,47322,1319,1319
1545.17,1319,49784682,46570328,4587,0
261.092,104087,1411356,1411356,138316,79739
19.299,62478,104087,62478,11318,8574
93.701,104087,157804,157804,15108,15108
42.537,47322,104087,47322,1657,1657
1534.39,1657,49799790,46584622,4336,0
253.012,81471,1411356,1411356,130605,90836
15.203,62478,81471,62478,5470,3932
85.13,81471,157804,157804,7341,7341
40.564,47322,81471,47322,1104,1104
1528.62,1104,49807131,46591613,3703,0
241.745,91677,1411356,1411356,114574,69739
15.547,62478,91677,62478,20460,3379
84.632,91677,157804,157804,9709,9709
40.162,47322,91677,47322,1568,1568
1534.62,1568,49816840,46601002,3399,0
232.739,62253,1411356,1411356,83006,59264
13.345,62253,62478,62478,3072,1418
79.431,62253,157804,157804,3024,3024
39.552,47322,62253,47322,354,354
1525.48,354,49819864,46603814,1373,0
224.07,57979,1411356,1411356,95759,44161
13.75,57979,62478,62478,5563,4087
80.162,57979,157804,157804,8172,8172
39.083,47322,57979,47322,243,243
1525.3,243,49828036,46611699,621,0
218.305,41891,1411356,1411356,60939,37966
12.841,41891,62478,62478,1905,592
77.138,41891,157804,157804,2598,2598
39.007,41891,47322,47322,268,268
1527.95,268,49830634,46614146,775,0
214.017,36830,1411356,1411356,53752,25985
12.799,36830,62478,62478,5318,1213
76.915,36830,157804,157804,2207,2207
38.63,36830,47322,47322,78,78
1555.57,78,49832841,46616312,650,0
222.581,24889,1411356,1411356,49629,37232
13.136,24889,62478,62478,1241,585
78.564,24889,157804,157804,1177,1177
38.54,24889,47322,47322,33,33
1545.46,33,49834018,46617483,251,0
205.762,36787,1411356,1411356,59634,22261
12.331,36787,62478,62478,1182,891
76.111,36787,157804,157804,1948,1948
38.754,36787,47322,47322,98,98
1526.36,98,49835966,46619431,262,0
188.725,19403,1411356,1411356,31386,21733
11.678,19403,62478,62478,476,364
72.342,19403,157804,157804,815,815
38.492,19403,47322,47322,25,25
1572.44,25,49836781,46620246,345,0
184.46,21573,1411356,1411356,32070,13996
11.84,21573,62478,62478,1855,1051
71.588,21573,157804,157804,734,734
34.362,21573,47322,47322,13,13
1533.53,13,49837515,46620980,109,0
180.684,13043,1411356,1411356,16747,9024
11.426,13043,62478,62478,817,529
72.271,13043,157804,157804,344,344
34.355,13043,47322,47322,2,2
1547.45,2,49837859,46621324,2,0
178.801,9024,1411356,1411356,14268,5661
11.497,9024,62478,62478,760,688
71.671,9024,157804,157804,354,354
35.196,9024,47322,47322,0,0
178.992,5853,1411356,1411356,13217,8909
11.27,5853,62478,62478,419,401
71.385,5853,157804,157804,70,70
34.195,5853,47322,47322,0,0
176.217,9140,1411356,1411356,11327,6592
11.409,9140,62478,62478,1627,115
70.924,9140,157804,157804,256,256
34.06,9140,47322,47322,0,0
176.432,5160,1411356,1411356,6784,5065
11.093,5160,62478,62478,157,67
71.153,5160,157804,157804,86,86
34.063,5160,47322,47322,0,0
176.212,4930,1411356,1411356,10405,4039
10.958,4930,62478,62478,188,62
70.651,4930,157804,157804,21,21
34.034,4930,47322,47322,0,0
176.845,3377,1411356,1411356,4522,2844
10.905,3377,62478,62478,104,68
70.818,3377,157804,157804,46,46
34.09,3377,47322,47322,0,0
179.537,2840,1411356,1411356,4806,1740
10.97,2840,62478,62478,24,24
70.838,2840,157804,157804,54,54
34.252,2840,47322,47322,0,0
173.832,1536,1411356,1411356,2577,2030
10.833,1536,62478,62478,0,0
70.991,1536,157804,157804,96,96
35.429,1536,47322,47322,0,0
172.939,1989,1411356,1411356,3656,1191
10.786,1989,62478,62478,0,0
71.407,1989,157804,157804,9,9
34.069,1989,47322,47322,0,0
172.323,1171,1411356,1411356,1461,1005
10.776,1171,62478,62478,0,0
70.636,1171,157804,157804,1,1
34.594,1171,47322,47322,0,0
171.832,1001,1411356,1411356,1333,342
10.844,1001,62478,62478,0,0
70.601,1001,157804,157804,11,11
34.053,1001,47322,47322,0,0
170.685,342,1411356,1411356,369,267
10.728,342,62478,62478,0,0
71.449,342,157804,157804,17,17
34.42,342,47322,47322,0,0
170.434,267,1411356,1411356,275,42
10.704,267,62478,62478,0,0
70.487,267,157804,157804,6,6
34.177,267,47322,47322,0,0
173.379,42,1411356,1411356,46,18
10.694,42,62478,62478,0,0
70.937,42,157804,157804,0,0
33.957,42,47322,47322,0,0
168.01,18,1411356,1411356,18,4
12.583,18,62478,62478,0,0
70.808,18,157804,157804,0,0
33.899,18,47322,47322,0,0
166.817,4,1411356,1411356,4,0
10.618,4,62478,62478,0,0
71.022,4,157804,157804,0,0
34.727,4,47322,47322,0,0
1162.92,8284928,9108621,8707028,6110199,367574
4027.71,10809,1460994549,10809,12336032,9020425
4128.27,1411356,6572956,1411356,11563704,9554497
378.975,69393,6572956,69393,2729195,334744
165.291,157804,6572956,157804,57107,57068
45.167,47322,6572956,47322,56,56
1537.45,56,49895954,46679418,418,193
4950.93,1411356,9819781,1411356,12525148,9370948
411.783,69473,9819781,69473,331766,331415
109.652,157804,9819781,157804,119,119
45.042,47322,9819781,47322,25,25
1540,25,49896073,46679537,91,20
4460.64,1411356,9144509,1411356,12040301,7595432
604.38,69487,9144509,69487,1301468,895272
1087.26,157804,9144509,157804,726697,726697
152.254,47322,9144509,47322,102907,102907
1635.89,102907,50622770,47349953,331054,274548
5261.05,1411356,8099524,1411356,14080945,12154372
183.885,69877,8099524,69877,110042,109706
399.292,157804,8099524,157804,250822,250822
36.539,47322,8099524,47322,608,606
1569.03,606,50873592,47600775,1407,696
5978.06,1411356,12206875,1411356,19329746,16514603
268.019,70000,12206875,70000,360511,332127
1295.96,157804,12206875,157804,2628564,2628563
276.076,47322,12206875,47322,193304,193304
1769.89,193304,53502155,50229335,1062183,29596
4378.68,1411356,13158976,1411356,12371560,10139279
153.622,70172,13158976,70172,136094,136083
1318.34,157804,13158976,157804,1942870,1942870
417.607,47322,13158976,47322,407464,407464
1923.53,407464,55445025,52087741,1657024,12
2884.92,1411356,7466424,1411356,7695900,5642673
74.946,70184,7466424,70184,56725,56713
2237.42,157804,7466424,157804,2161306,2161306
311.093,47322,7466424,47322,354266,354266
1879.35,354266,57606331,54138504,790646,41
2187.3,1411356,4828000,1411356,4590098,3275616
258.182,70209,4828000,70209,190647,190549
1497.91,157804,4828000,157804,1391318,1391318
278.03,47322,4828000,47322,326014,326014
1934.91,326014,58997649,55420343,1114584,31
1621.95,1411356,3327902,1411356,3018840,1937335
375.035,70240,3327902,70240,870846,870535
1479.06,157804,3327902,157804,1729640,1729640
375.564,47322,3327902,47322,328107,328107
2025.46,328107,60727289,57093680,1308618,38
1765.54,1411356,2752055,1411356,3322140,2967663
21.441,70276,2752055,70276,9219,9086
969.399,157804,2752055,157804,874132,874132
58.454,47322,2752055,47322,27602,27602
1917.76,27602,61601421,57885650,55244,0
1528.77,1411356,2735497,1411356,2616578,1920300
312.869,70276,2735497,70276,1151136,1013578
323.258,157804,2735497,157804,272712,272712
84.086,47322,2735497,47322,54644,54644
1917.22,54644,61874133,58076897,137451,68
1299.63,1411356,2685518,1411356,2590098,2251692
21.064,70310,2685518,70310,11211,6860
433.767,157804,2685518,157804,682201,682201
35.167,47322,2685518,47322,272,272
1909.53,272,62556334,58487792,935,0
1372.26,1411356,1791707,1411356,2322617,1860167
22.292,70310,1791707,70310,11120,7359
120.628,157804,1791707,157804,55814,55814
35.362,47322,1791707,47322,155,155
1918.43,155,62612148,58543582,794,3
955.706,1411356,1590822,1411356,1609797,1439759
20.825,70313,1590822,70313,14122,5341
503.287,157804,1590822,157804,874034,874032
572.472,47322,1590822,47322,489644,489644
2271.85,489636,63486180,59417606,5080351,4
888.304,1349590,1411356,1411356,1934807,1492686
22.901,70317,1349590,70317,12882,11408
138.909,157804,1349590,157804,218565,218565
35.709,47322,1349590,47322,335,335
1950.57,335,63704745,59636120,964,0
1199.82,1411356,1432495,1411356,2483442,1902037
27.275,70317,1432495,70317,31753,28939
202.511,157804,1432495,157804,172744,172649
107.842,47322,1432495,47322,82340,82336
2060.59,82332,63877394,59808571,791743,0
971.763,1411356,1768481,1411356,2185069,1688400
68.79,70317,1768481,70317,50511,43499
184.119,157804,1768481,157804,112468,112462
37.175,47322,1768481,47322,1007,999
1974.03,999,63989856,59920820,2235,2
1065.15,1411356,1699275,1411356,2365057,1583128
30.791,70319,1699275,70319,52265,32437
233.408,157804,1699275,157804,187469,187380
39.679,47322,1699275,47322,2151,2147
1994.28,2147,64177236,60107377,12075,0
808.071,1411356,1506026,1411356,1356728,918897
27.295,70319,1506026,70319,44618,27253
98.058,157804,1506026,157804,33264,33264
37.596,47322,1506026,47322,775,775
1985.18,775,64210500,60139859,1956,0
652.385,929055,1411356,1411356,1122986,780965
27.648,70319,929055,70319,53436,23586
95.233,157804,929055,157804,16210,16209
37.9,47322,929055,47322,1593,1593
1966.01,1593,64226709,60154316,4908,1
542.851,743247,1411356,1411356,816343,587011
73.021,70320,743247,70320,139649,124268
144.957,157804,743247,157804,63452,63452
37.73,47322,743247,47322,1516,1516
1972.28,1516,64290161,60217131,3475,1
536.942,634001,1411356,1411356,1003767,612539
25.997,70321,634001,70321,37895,19916
96.982,157804,634001,157804,15834,15833
39.41,47322,634001,47322,2129,2129
1995.11,2129,64305994,60232513,12632,5
563.798,550082,1411356,1411356,678775,518386
27.149,70326,550082,70326,37896,28536
89.501,157804,550082,157804,10841,10840
38.034,47322,550082,47322,1708,1708
1975.44,1708,64316834,60242649,3529,0
522.185,515945,1411356,1411356,618933,418260
62.88,70326,515945,70326,100374,93998
91.269,157804,515945,157804,14540,14540
40.297,47322,515945,47322,2337,2337
1968.55,2337,64331374,60254999,6003,0
497.855,476844,1411356,1411356,845069,531106
23.573,70326,476844,70326,25220,20048
104.885,157804,476844,157804,43492,43438
38.13,47322,476844,47322,2281,2281
2055.76,2281,64374812,60297361,6569,0
489.573,533063,1411356,1411356,626574,495056
62.03,70326,533063,70326,118124,115429
98.712,157804,533063,157804,21436,21347
37.824,47322,533063,47322,1763,1763
1994.39,1763,64396159,60316006,6186,5
532.655,583048,1411356,1411356,702021,497329
22.41,70331,583048,70331,17714,14428
165.049,157804,583048,157804,100330,100293
40.91,47322,583048,47322,3538,3538
1986.71,3538,64496452,60415434,6887,0
531.517,495184,1411356,1411356,746428,539152
21.012,70331,495184,70331,14497,13358
102.334,157804,495184,157804,22207,22207
41.703,47322,495184,47322,4554,4554
2003.34,4554,64518659,60436712,18582,0
509.782,499464,1411356,1411356,711738,520540
31.575,70331,499464,70331,41927,39402
101.467,157804,499464,157804,25550,25550
40.591,47322,499464,47322,3700,3700
1977.08,3700,64544209,60461213,13370,0
393.938,475066,1411356,1411356,782536,364455
24.35,70331,475066,70331,21950,16551
95.624,157804,475066,157804,18481,18444
41.656,47322,475066,47322,4151,4151
1988.82,4151,64562653,60478882,9957,0
403.625,351718,1411356,1411356,581732,422391
30.25,70331,351718,70331,44253,29543
104.544,157804,351718,157804,22233,22232
40.161,47322,351718,47322,3020,3020
1983.29,3020,64584885,60499729,7974,0
383.639,414843,1411356,1411356,572778,412323
29.945,70331,414843,70331,38281,23877
108.577,157804,414843,157804,44163,44161
39.515,47322,414843,47322,2767,2767
2011.67,2767,64629046,60543163,8686,0
388.416,391475,1411356,1411356,588755,416975
25.47,70331,391475,70331,42735,17655
99.544,157804,391475,157804,21040,21003
41.276,47322,391475,47322,4088,4088
1993.32,4088,64650049,60562812,10945,0
368.423,397333,1411356,1411356,539715,368226
33.661,70331,397333,70331,46726,41772
90.522,157804,397333,157804,16481,16448
37.863,47322,397333,47322,1861,1861
1980.96,1861,64666497,60577263,6646,0
352.654,366423,1411356,1411356,468636,319002
24.107,70331,366423,70331,26701,14978
96.091,157804,366423,157804,20508,20475
39.264,47322,366423,47322,2636,2636
1998.34,2636,64686972,60596153,7911,0
364.155,306897,1411356,1411356,472637,355855
27.599,70331,306897,70331,25446,17589
98.566,157804,306897,157804,24568,24568
41.072,47322,306897,47322,4238,4238
2026.98,4238,64711540,60619065,13448,0
350.934,345430,1411356,1411356,459236,349933
27.52,70331,345430,70331,23017,17968
99.293,157804,345430,157804,29465,29465
40.76,47322,345430,47322,3393,3393
2031.85,3393,64741005,60647268,12713,0
333.058,312728,1411356,1411356,391357,288857
25.241,70331,312728,70331,20864,17740
114.176,157804,312728,157804,32568,32480
44.266,47322,312728,47322,6295,6295
2035.98,6295,64773485,60678104,24601,0
360.211,278355,1411356,1411356,426932,340455
21.901,70331,278355,70331,14575,9676
102.44,157804,278355,157804,22861,22849
42.709,47322,278355,47322,5144,5144
1996.22,5144,64796334,60698807,14593,0
378.057,327312,1411356,1411356,549078,400203
35.672,70331,327312,70331,46283,40738
103.067,157804,327312,157804,29761,29668
42.089,47322,327312,47322,4398,4398
2008.66,4398,64826002,60727578,20042,0
364.677,374378,1411356,1411356,525968,345544
26.91,70331,374378,70331,26484,22178
96.695,157804,374378,157804,22629,22483
40.128,47322,374378,47322,3903,3903
2019.98,3903,64848485,60749181,14041,0
336.802,330646,1411356,1411356,441283,284817
30.049,70331,330646,70331,33070,23812
99.869,157804,330646,157804,23167,23167
41.915,47322,330646,47322,5399,5399
2014.63,5399,64871652,60770136,19406,0
331.421,271556,1411356,1411356,391202,257917
26.8,70331,271556,70331,35572,20106
99.445,157804,271556,157804,21064,21063
39.912,47322,271556,47322,4167,4167
1991.07,4167,64892715,60790361,18456,0
330.691,260259,1411356,1411356,412751,275119
30.022,70331,260259,70331,46255,24456
97.367,157804,260259,157804,26518,26426
40.386,47322,260259,47322,5339,5339
1996.74,5339,64919141,60815041,23527,0
311.328,277419,1411356,1411356,348262,212439
26.558,70331,277419,70331,28982,23106
91.347,157804,277419,157804,16368,16368
38.118,47322,277419,47322,2664,2664
1989.73,2664,64935509,60830830,11799,0
303.796,209750,1411356,1411356,325065,217006
26.077,70331,209750,70331,37071,20430
91.344,157804,209750,157804,14415,14415
38.765,47322,209750,47322,3181,3181
1989.29,3181,64949924,60844185,15333,0
275.193,225486,1411356,1411356,274720,157162
20.627,70331,225486,70331,21074,10383
84.773,157804,225486,157804,12259,12255
36.113,47322,225486,47322,972,972
2005.51,972,64962179,60855024,3506,0
260.623,138756,1411356,1411356,184069,123817
18.851,70331,138756,70331,12246,6928
83.583,138756,157804,157804,10838,10838
37.701,47322,138756,47322,2178,2178
1986.61,2178,64973017,60864481,4602,0
245.391,122620,1411356,1411356,158346,96141
18.678,70331,122620,70331,7195,5680
83.704,122620,157804,157804,8939,8939
37.847,47322,122620,47322,2338,2338
1997.6,2338,64981956,60873213,20272,0
229.383,89964,1411356,1411356,114125,67638
17.49,70331,89964,70331,14603,3631
81.457,89964,157804,157804,13126,13126
36.367,47322,89964,47322,1777,1777
1990.72,1777,64995082,60886103,2472,0
219.553,66622,1411356,1411356,87030,59369
17.577,66622,70331,70331,7207,5521
77.99,66622,157804,157804,4054,4050
36.338,47322,66622,47322,718,718
1983.4,718,64999132,60890002,4255,0
213.457,60623,1411356,1411356,77064,51584
18.667,60623,70331,70331,14566,10390
79.077,60623,157804,157804,11372,11350
35.32,47322,60623,47322,470,470
1983.39,470,65010482,60901227,2873,0
207.504,55989,1411356,1411356,72438,45006
16.006,55989,70331,70331,5338,3371
77.023,55989,157804,157804,2677,2677
35.382,47322,55989,47322,448,448
2013.38,448,65013159,60903539,1139,0
199.342,43227,1411356,1411356,48592,31031
15.642,43227,70331,70331,6327,2025
75.327,43227,157804,157804,2552,2552
35.188,43227,47322,47322,342,342
1980.92,342,65015711,60906030,1371,0
199.22,31481,1411356,1411356,61293,40878
