time,smaller,larger,outer,inner,updates
0.274,537,1210,1210,14,14
3.48,537,11109,11109,112,112
1.03,537,1992,1992,14,14
0.493,14,3430,2770,84,0
3.456,347,38676,38676,494,433
0.333,347,1210,1210,192,183
3.535,347,11109,11109,68,68
1.068,347,1992,1992,87,87
0.563,87,3498,2817,366,69
3.444,479,38676,38676,507,374
0.31,479,1247,1247,588,369
3.5,479,11109,11109,28,28
1.08,479,1992,1992,70,70
0.535,70,3526,2817,29,26
3.473,399,38676,38676,460,347
0.33,399,1273,1273,623,358
3.469,399,11109,11109,29,28
1.048,399,1992,1992,27,27
0.5,27,3554,2845,5,4
3.561,703,38676,38676,882,671
0.297,703,1277,1277,233,209
3.46,703,11109,11109,8,8
1.04,703,1992,1992,28,14
0.499,14,3562,2853,5,4
3.579,847,38676,38676,1246,842
0.287,847,1281,1281,459,224
3.551,847,11109,11109,119,106
1.14,847,1992,1992,153,140
0.652,140,3668,2935,625,312
3.461,919,38676,38676,719,456
0.235,919,1329,1329,392,0
3.596,919,11109,11109,205,205
1.048,919,1992,1992,46,4
0.522,4,3873,3140,30,0
3.406,448,38676,38676,471,269
0.223,448,1329,1329,0,0
3.519,448,11109,11109,64,64
1.022,448,1992,1992,2,2
0.512,2,3937,3194,8,0
3.412,227,38676,38676,430,264
0.234,227,1329,1329,221,0
3.473,227,11109,11109,54,54
1.026,227,1992,1992,13,13
0.535,13,3991,3248,104,26
3.392,263,38676,38676,385,238
0.227,263,1331,1331,0,0
3.617,263,11109,11109,144,144
1.043,263,1992,1992,18,18
0.53,18,4135,3340,114,0
3.366,212,38676,38676,238,104
0.228,212,1331,1331,0,0
3.491,212,11109,11109,43,43
1.02,212,1992,1992,0,0
3.351,104,38676,38676,89,77
0.235,104,1331,1331,2,2
3.464,104,11109,11109,14,14
1.024,104,1992,1992,2,2
0.515,2,4192,3389,12,0
3.378,77,38676,38676,209,100
0.259,77,1331,1331,152,48
3.537,77,11109,11109,286,286
1.059,77,1992,1992,25,25
0.556,25,4478,3584,268,0
3.364,114,38676,38676,113,71
0.265,114,1331,1331,140,36
3.447,114,11109,11109,6,6
1.049,114,1992,1992,14,14
0.551,14,4484,3586,54,8
3.366,73,38676,38676,67,37
0.279,73,1335,1335,82,46
3.421,73,11109,11109,4,2
1.024,73,1992,1992,2,2
0.53,2,4486,3588,10,0
3.349,83,38676,38676,86,61
0.267,83,1335,1335,50,30
3.481,83,11109,11109,12,12
1.031,83,1992,1992,8,6
0.546,4,4498,3600,28,8
3.375,91,38676,38676,190,102
0.252,91,1339,1339,72,4
3.495,91,11109,11109,173,173
1.056,91,1992,1992,27,25
0.604,25,4671,3669,365,24
3.341,90,38676,38676,86,58
0.261,90,1351,1351,82,4
3.444,90,11109,11109,4,4
1.021,90,1992,1992,4,0
3.283,62,38676,38676,63,22
0.223,62,1351,1351,0,0
3.449,62,11109,11109,21,19
1.006,62,1992,1992,0,0
3.267,16,38676,38676,26,14
0.222,16,1351,1351,0,0
3.385,16,11109,11109,0,0
1.004,16,1992,1992,0,0
3.264,14,38676,38676,28,10
0.228,14,1351,1351,0,0
3.425,14,11109,11109,8,8
1.017,14,1992,1992,2,2
0.534,2,4702,3700,16,0
3.193,10,38676,38676,6,2
0.22,10,1351,1351,0,0
3.396,10,11109,11109,0,0
1.01,10,1992,1992,0,0
3.161,2,38676,38676,2,2
0.219,2,1351,1351,0,0
3.395,2,11109,11109,0,0
1.009,2,1992,1992,0,0
3.156,2,38676,38676,0,0
0.218,2,1351,1351,0,0
3.389,2,11109,11109,0,0
1.009,2,1992,1992,0,0
1.106,2833,3152,1995,5898,1276
0.99,750,47342,750,6751,3870
3.729,1663,38676,38676,1170,687
0.436,1663,1802,1802,2448,284
3.578,1663,11109,11109,121,106
1.125,1663,1992,1992,131,72
0.618,72,4793,3791,715,1
3.709,741,38676,38676,695,624
0.298,741,1803,1803,0,0
3.494,741,11109,11109,0,0
1.025,741,1992,1992,0,0
3.64,574,38676,38676,608,481
0.31,574,1803,1803,200,5
3.514,574,11109,11109,74,59
1.098,574,1992,1992,67,52
0.592,52,4852,3850,285,12
3.554,427,38676,38676,478,408
0.302,427,1815,1815,5,5
3.571,427,11109,11109,230,230
1.022,427,1992,1992,1,1
0.56,1,5082,4080,0,0
3.495,398,38676,38676,450,224
0.289,398,1815,1815,0,0
3.599,398,11109,11109,163,163
1.015,398,1992,1992,1,1
0.57,1,5245,4171,6,6
3.557,198,38676,38676,352,212
0.308,198,1821,1821,255,0
3.53,198,11109,11109,114,114
1.019,198,1992,1992,15,15
0.57,15,5359,4285,33,0
3.412,206,38676,38676,191,148
0.295,206,1821,1821,0,0
3.454,206,11109,11109,26,26
1.02,206,1992,1992,3,3
0.603,3,5385,4311,24,24
3.345,145,38676,38676,211,66
0.295,145,1845,1845,0,0
3.514,145,11109,11109,105,105
1.014,145,1992,1992,0,0
3.297,66,38676,38676,49,40
0.294,66,1845,1845,0,0
3.423,66,11109,11109,0,0
1.051,66,1992,1992,0,0
3.522,40,38676,38676,209,145
0.344,40,1845,1845,120,103
3.686,40,11109,11109,330,330
1.065,40,1992,1992,34,34
0.608,34,5820,4641,240,0
3.39,248,38676,38676,297,288
0.289,248,1845,1845,0,0
3.481,248,11109,11109,6,6
1.013,248,1992,1992,0,0
3.455,276,38676,38676,1050,986
0.289,276,1845,1845,0,0
3.434,276,11109,11109,0,0
1.014,276,1992,1992,0,0
3.483,973,38676,38676,1815,987
0.301,973,1845,1845,208,0
3.474,973,11109,11109,48,48
1.012,973,1992,1992,0,0
3.456,858,38676,38676,1219,1009
0.299,858,1845,1845,0,0
3.479,858,11109,11109,195,195
1.034,858,1992,1992,15,15
0.633,15,6069,4770,315,0
3.361,840,38676,38676,488,373
0.287,840,1845,1845,0,0
3.469,840,11109,11109,195,195
1.043,840,1992,1992,26,26
0.625,26,6264,4965,195,0
3.327,325,38676,38676,306,229
0.287,325,1845,1845,0,0
3.48,325,11109,11109,132,132
1.029,325,1992,1992,13,13
0.608,13,6396,5032,52,0
3.318,229,38676,38676,228,204
0.286,229,1845,1845,0,0
3.44,229,11109,11109,12,12
1.013,229,1992,1992,0,0
3.332,204,38676,38676,505,466
0.286,204,1845,1845,0,0
3.669,204,11109,11109,559,559
1.036,204,1992,1992,26,26
0.61,26,6967,5265,13,0
3.323,297,38676,38676,285,273
0.286,297,1845,1845,0,0
3.424,297,11109,11109,24,24
1.009,297,1992,1992,0,0
3.239,273,38676,38676,208,182
0.281,273,1845,1845,0,0
3.434,273,11109,11109,78,78
1.028,273,1992,1992,13,13
0.62,13,7069,5315,78,0
3.256,182,38676,38676,182,182
0.289,182,1845,1845,0,0
3.425,182,11109,11109,0,0
1.02,182,1992,1992,0,0
3.3,182,38676,38676,208,90
0.286,182,1845,1845,0,0
3.423,182,11109,11109,26,26
1.004,182,1992,1992,0,0
3.257,38,38676,38676,25,25
0.303,38,1845,1845,117,13
3.393,38,11109,11109,0,0
1.004,38,1992,1992,0,0
3.26,38,38676,38676,78,65
0.426,38,1845,1845,538,538
3.41,38,11109,11109,0,0
1.01,38,1992,1992,0,0
3.36,603,38676,38676,662,361
0.294,603,1845,1845,12,0
3.405,603,11109,11109,0,0
1.011,603,1992,1992,0,0
3.356,322,38676,38676,309,193
0.292,322,1845,1845,104,0
3.403,322,11109,11109,0,0
1.01,322,1992,1992,0,0
3.289,193,38676,38676,194,103
0.285,193,1845,1845,0,0
3.415,193,11109,11109,13,13
1.012,193,1992,1992,0,0
3.211,64,38676,38676,51,51
0.284,64,1845,1845,0,0
3.398,64,11109,11109,12,12
1,64,1992,1992,0,0
3.195,51,38676,38676,90,12
0.282,51,1845,1845,0,0
3.409,51,11109,11109,52,52
1,51,1992,1992,0,0
3.207,12,38676,38676,24,12
0.289,12,1845,1845,0,0
3.377,12,11109,11109,12,12
1,12,1992,1992,0,0
3.175,12,38676,38676,12,12
0.281,12,1845,1845,0,0
3.398,12,11109,11109,0,0
0.997,12,1992,1992,0,0
3.173,12,38676,38676,24,12
0.287,12,1845,1845,0,0
3.394,12,11109,11109,36,36
0.998,12,1992,1992,0,0
3.174,12,38676,38676,12,12
0.281,12,1845,1845,0,0
3.394,12,11109,11109,0,0
1,12,1992,1992,0,0
3.173,12,38676,38676,24,12
0.288,12,1845,1845,0,0
3.376,12,11109,11109,0,0
1.024,12,1992,1992,12,12
0.602,12,7220,5388,0,0
3.195,12,38676,38676,12,12
0.284,12,1845,1845,0,0
3.393,12,11109,11109,0,0
1.004,12,1992,1992,0,0
3.159,12,38676,38676,12,0
0.282,12,1845,1845,0,0
3.402,12,11109,11109,0,0
1.003,12,1992,1992,0,0
0.561,2518,3435,1688,4083,277
0.151,166,58080,166,139,112
3.43,112,38676,38676,94,94
0.325,112,1968,1968,6,6
